team,strength
Drexel Dragons,0.0012247678833410664
Merrimack Warriors,0.0012238871278722153
Purdue Fort Wayne Mastodons,0.0012162813107611944
Colgate Raiders,0.0012138975806005078
UNC Asheville Bulldogs,0.0012086477275208298
Hampton Pirates,0.0012054366751724829
Wright State Raiders,0.001200230303908962
Boston College Eagles,0.0011933645073332474
Delaware Blue Hens,0.0011906822413864128
San José State Spartans,0.0011896460811949964
California Baptist Lancers,0.0011821192397150084
Towson Tigers,0.001180452948420812
Seton Hall Pirates,0.00117792888594091
Norfolk State Spartans,0.0011687158579190764
Texas State Bobcats,0.0011674054286881029
Abilene Christian Wildcats,0.0011599160020711338
Portland Pilots,0.00114657016909402
Brown Bears,0.0011451294102533182
Boston University Terriers,0.0011354383366012017
Siena Saints,0.0011264208251204684
Bucknell Bison,0.001123632970334264
Harvard Crimson,0.001120485625242464
Vermont Catamounts,0.0011169865351706354
Bryant Bulldogs,0.0011135516751108738
UMass Lowell River Hawks,0.0011102739871536595
Montana Grizzlies,0.001107054928066234
Fordham Rams,0.00110410561738619
App State Mountaineers,0.0011021739103960588
American University Eagles,0.0010988274381874095
UAlbany Great Danes,0.001076455446715209
Sam Houston Bearkats,0.0010720561450251209
Sacred Heart Pioneers,0.0010616324603463221
Southeast Missouri State Redhawks,0.0010555012875870361
Central Connecticut Blue Devils,0.001048976628212867
Nicholls Colonels,0.0010261756722300692
Monmouth Hawks,0.0010208506141901725
SIU Edwardsville Cougars,0.0010182612817959253
Montana State Bobcats,0.0010077723379933502
North Dakota Fighting Hawks,0.0010038668340908914
Portland State Vikings,0.0009908551575818709
Cal Poly Mustangs,0.0009856552218512305
Eastern Kentucky Colonels,0.0009853965372887156
Western Michigan Broncos,0.0009778930131561561
Jacksonville Dolphins,0.0009733872853776421
Quinnipiac Bobcats,0.0009732335330410629
Winthrop Eagles,0.0009652417596256078
UC Santa Barbara Gauchos,0.0009644118246591189
Oakland Golden Grizzlies,0.000964208009932828
Lehigh Mountain Hawks,0.0009558879062225739
Little Rock Trojans,0.0009515725903250756
Manhattan Jaspers,0.0009499427495422413
Youngstown State Penguins,0.0009482867982577197
Kansas City Roos,0.0009309888190572678
Central Michigan Chippewas,0.0009286741520653813
Northern Kentucky Norse,0.0009277163175378238
Marist Red Foxes,0.0009223240082665315
Texas A&M-Corpus Christi Islanders,0.0009212991668364338
Presbyterian Blue Hose,0.0009173155287790253
Toledo Rockets,0.000905227538679326
Mount St. Mary's Mountaineers,0.000900156047127118
Iona Gaels,0.0008992126043647413
Charlotte 49ers,0.0008985969891907402
Richmond Spiders,0.0008954790338437674
Hawai'i Rainbow Warriors,0.0008918810795343983
South Dakota Coyotes,0.0008879197654326174
North Florida Ospreys,0.0008877785698151481
Austin Peay Governors,0.0008836131911261129
Virginia Tech Hokies,0.0008814086473786637
Florida Gulf Coast Eagles,0.0008751454505161782
Lafayette Leopards,0.0008668477635304748
Northwestern State Demons,0.000866657524875846
Cal State Bakersfield Roadrunners,0.0008508943730073572
Tulsa Golden Hurricane,0.0008483996211540287
Pennsylvania Quakers,0.0008471250487778212
Pacific Tigers,0.0008361871549352553
Ball State Cardinals,0.0008357699005651445
UT Arlington Mavericks,0.0008334453306343564
Miami Hurricanes,0.0008240751256959442
Idaho State Bengals,0.000822826645698658
UMBC Retrievers,0.0008195244663496092
Louisiana Ragin' Cajuns,0.0008082885826371166
Eastern Michigan Eagles,0.0008052826197513977
UC Davis Aggies,0.000799012216775493
VMI Keydets,0.000797574954028614
Wyoming Cowboys,0.0007895673844453155
Queens University Royals,0.000784409604888139
Idaho Vandals,0.0007813997172797336
Old Dominion Monarchs,0.0007744114430907259
Denver Pioneers,0.0007734469132942871
Georgia State Panthers,0.0007575035292237771
Holy Cross Crusaders,0.0007560146043421133
Army Black Knights,0.0007520541960482865
Lamar Cardinals,0.0007423852088944318
UT Rio Grande Valley Vaqueros,0.0007391763492302761
Georgia Southern Eagles,0.000730388806807583
South Carolina State Bulldogs,0.0007272726686094565
Saint Peter's Peacocks,0.0007233363373141113
Florida International Panthers,0.0007211669957573447
Rider Broncs,0.0007207387144162924
Green Bay Phoenix,0.0007156465357623784
Alabama State Hornets,0.0007102158996915647
Tarleton State Texans,0.0007087681571647242
SE Louisiana Lions,0.0007051938940228417
Gardner-Webb Runnin' Bulldogs,0.0007047155289789146
Southern Indiana Screaming Eagles,0.0007034663570858616
Navy Midshipmen,0.000694128981017466
Loyola Maryland Greyhounds,0.0006882322702254032
Morehead State Eagles,0.0006867663656388324
Stephen F. Austin Lumberjacks,0.0006850548404261325
Tennessee State Tigers,0.000684334910428607
Binghamton Bearcats,0.0006802409537762573
Eastern Illinois Panthers,0.0006785321991700749
Fairfield Stags,0.0006701480794288643
Bethune-Cookman Wildcats,0.000668288657317398
Howard Bison,0.000660619554014545
Eastern Washington Eagles,0.0006593683486901924
North Carolina Central Eagles,0.0006582643080794807
Long Island University Sharks,0.0006552434326664064
Western Illinois Leathernecks,0.000652686232090583
Stonehill Skyhawks,0.0006505510883955576
Air Force Falcons,0.0006504554350777791
Detroit Mercy Titans,0.0006493116591393086
Bowling Green Falcons,0.0006478107217997102
Houston Christian Huskies,0.0006473450665631024
Tennessee Tech Golden Eagles,0.0006433759882386336
Incarnate Word Cardinals,0.0006375578205184514
Northern Arizona Lumberjacks,0.0006372378128977186
Southern Utah Thunderbirds,0.000636063267861438
Southern Miss Golden Eagles,0.000635134356840516
Southern Jaguars,0.0006283068520499622
UT Martin Skyhawks,0.0006232660403974362
Jackson State Tigers,0.0006177415428039605
Lindenwood Lions,0.0006158455317262482
NJIT Highlanders,0.000613862445255448
Morgan State Bears,0.0006138400062911983
Delaware State Hornets,0.0006102756369623837
Mercer Bears,0.000609040658307597
Weber State Wildcats,0.0005974303816572598
Oral Roberts Golden Eagles,0.0005943087475006546
Charleston Southern Buccaneers,0.0005927979981161681
Wagner Seahawks,0.0005904894869561199
Le Moyne Dolphins,0.0005872213693042091
St. Francis (PA) Red Flash,0.0005862640371394104
Stony Brook Seawolves,0.0005845270434890882
Niagara Purple Eagles,0.000581599872129978
Western Carolina Catamounts,0.0005789076261717022
Coastal Carolina Chanticleers,0.0005695225352998616
Utah Tech Trailblazers,0.000561128541358498
Bellarmine Knights,0.0005589084211958105
Fairleigh Dickinson Knights,0.0005586423506683873
Texas Southern Tigers,0.0005539249312010884
UL Monroe Warhawks,0.00055164886724224
Buffalo Bulls,0.0005510715494695711
Mercyhurst Lakers,0.0005446806302381289
New Hampshire Wildcats,0.0005341733348647336
Cal State Fullerton Titans,0.000533586838539092
IU Indianapolis Jaguars,0.0005331134324683222
Long Beach State Beach,0.0005322880704474195
New Orleans Privateers,0.0005311958094745349
East Texas A&M Lions,0.0005302370529481296
San Diego Toreros,0.000525849386514224
Northern Illinois Huskies,0.0005224950314787907
Canisius Golden Griffins,0.0005205343045993972
Grambling Tigers,0.0005195281979092946
West Georgia Wolves,0.000517172068166402
Florida A&M Rattlers,0.0005148346098769614
Chicago State Cougars,0.0005075280854197775
Central Arkansas Bears,0.0005070923973397792
North Carolina A&T Aggies,0.000502448129524172
South Carolina Upstate Spartans,0.0004999041516115178
Coppin State Eagles,0.0004998502289316176
Fresno State Bulldogs,0.0004896575189667996
Alabama A&M Bulldogs,0.00047974616534600135
Alcorn State Braves,0.0004770854780426309
Sacramento State Hornets,0.0004655760647919589
Prairie View A&M Panthers,0.000459945458127859
Maryland Eastern Shore Hawks,0.00045274475602860673
Arkansas-Pine Bluff Golden Lions,0.00044624216514621296
Stetson Hatters,0.0004421135632130892
The Citadel Bulldogs,0.00043437972443718383
Mississippi Valley State Delta Devils,0.0004134488781410456
Virginia-Lynchburg Dragons,0.0004109589041095891
